name;identifier;org_id
Veiligheidsregio Groningen;VR01;so0823
Veiligheidsregio Fryslân;VR02;so0460
Veiligheidsregio Drenthe;VR03;so0616
Veiligheidsregio IJsselland;VR04;so0003
Veiligheidsregio Twente;VR05;so0679
Veiligheidsregio Noord- en Oost-Gelderland;VR06;so0525
Veiligheids- en Gezondheidsregio Gelderland-Midden;VR07;so0476
Veiligheidsregio Gelderland-Zuid;VR08;so0518
Veiligheidsregio Utrecht;VR09;so0588
Veiligheidsregio Noord-Holland Noord;VR10;so0494
Veiligheidsregio Zaanstreek-Waterland;VR11;so0624
Veiligheidsregio Kennemerland;VR12;so0640
Veiligheidsregio Amsterdam-Amstelland;VR13;so0636
Veiligheidsregio Gooi en Vechtstreek;VR14;so0637
Veiligheidsregio Haaglanden;VR15;so0044
Veiligheidsregio Hollands Midden;VR16;so0676
Veiligheidsregio Rotterdam-Rijnmond;VR17;so0617
Veiligheidsregio Zuid-Holland Zuid;VR18;so0660
Veiligheidsregio Zeeland;VR19;so0619
Veiligheidsregio Midden- en West-Brabant;VR20;so0497
Veiligheidsregio Brabant-Noord;VR21;so0066
Veiligheidsregio Brabant-Zuidoost;VR22;so0639
Veiligheidsregio en Gemeentelijke Gezondheidsdienst Limburg-Noord;VR23;so0907
Veiligheidsregio Zuid-Limburg;VR24;so0706
Veiligheidsregio Flevoland;VR25;so0638




